"custAge","profession","marital","schooling","default","housing","loan","contact","month","day_of_week","campaign","pdays","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","pmonths","pastEmail","responded","profit","id"
43,"housemaid","single","basic.9y","no","no","no","cellular","nov","tue",1,999,0,"nonexistent",-0.1,93.2,-42,4.153,5195.8,999,0,"no",NA,46
48,"technician","married",NA,"no","no","yes","cellular","jul","wed",5,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,999,0,"no",NA,47
42,"admin.","married","high.school","unknown","no","no","cellular","nov","mon",1,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,999,0,"no",NA,48
41,"admin.","single","high.school","no","yes","yes","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,999,0,"no",NA,49
30,"admin.","married","university.degree","no","no","yes","cellular","may","thu",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,999,0,"no",NA,50
36,"blue-collar","married",NA,"no","yes","no","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,999,0,"no",NA,51
24,"technician","divorced",NA,"no","no","no","cellular","apr","fri",1,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,999,3,"no",NA,52
46,"blue-collar","single",NA,"no","yes","yes","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,999,0,"no",NA,53
38,"admin.","married","university.degree","no","yes","no","telephone","jun","wed",3,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,999,0,"no",NA,54
29,"admin.","single","high.school","no","yes","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.244,5099.1,999,0,"no",NA,55
45,"admin.","married",NA,"no","no","no","cellular","dec","thu",2,6,1,"success",-3,92.713,-33,0.707,5023.5,0.2,2,"yes",217,56
42,"blue-collar","single","basic.6y","unknown","yes","yes","cellular","jul",NA,1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,999,0,"no",NA,57
30,"self-employed","single","university.degree","no","yes","no","cellular","aug",NA,2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,999,0,"no",NA,58
50,"blue-collar","married","basic.9y","no","yes","no","cellular","nov","mon",1,999,0,"nonexistent",-3.4,92.649,-30.1,0.714,5017.5,999,0,"no",NA,59
NA,"blue-collar","single",NA,"no","yes","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,999,0,"no",NA,60
41,"entrepreneur","married","basic.4y","no","no","no","telephone","jul","fri",1,999,0,"nonexistent",1.4,93.918,-42.7,4.959,5228.1,999,0,"no",NA,61
33,"entrepreneur","married","university.degree","no","no","no","cellular","jul","mon",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,999,0,"no",NA,62
54,"admin.","married",NA,"no","no","no","cellular","aug","wed",10,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,999,0,"no",NA,63
41,"technician","married","professional.course","no","no","no","telephone","may","fri",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,999,0,"no",NA,64
NA,"retired","married","high.school","no","yes","no","cellular","apr","tue",4,999,0,"nonexistent",-1.8,93.749,-34.6,0.642,5008.7,999,0,"no",NA,65
43,"services","married",NA,"unknown","no","no","cellular","jul","mon",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,999,0,"no",NA,66
38,"blue-collar","married","basic.9y","unknown","yes","no","cellular","may","thu",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.327,5099.1,999,0,"no",NA,67
29,"services","single","professional.course","no","no","yes","telephone","may",NA,2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,999,0,"no",NA,68
42,"management","single","university.degree","no","no","no","cellular","oct","fri",2,999,0,"nonexistent",-3.4,92.431,-26.9,0.743,5017.5,999,0,"yes",254,69
50,"blue-collar","married",NA,"unknown","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,999,0,"no",NA,70
48,"blue-collar","married",NA,"no","yes","no","cellular","aug","mon",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,999,0,"no",NA,71
40,"management","married","high.school","no","no","no","cellular","may","fri",1,999,1,"failure",-1.8,92.893,-46.2,1.259,5099.1,999,2,"no",NA,72
33,"services","married","high.school","no","no","no","telephone","jun","mon",14,999,0,"nonexistent",1.4,94.465,-41.8,4.865,5228.1,999,0,"no",NA,73
27,"technician","single","professional.course","no","no","no","cellular","apr","tue",3,999,1,"failure",-1.8,93.749,-34.6,0.638,5008.7,999,3,"no",NA,74
51,"blue-collar","divorced",NA,"no","yes","yes","cellular","may","tue",6,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,999,0,"no",NA,75
28,"blue-collar","single",NA,"unknown","yes","no","cellular","may","fri",6,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,999,0,"no",NA,76
NA,"admin.","single","high.school","no","no","yes","telephone","jun","fri",2,999,0,"nonexistent",1.4,94.465,-41.8,4.967,5228.1,999,0,"no",NA,77
45,"blue-collar","married",NA,"no","no","no","cellular","apr","fri",1,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,999,0,"no",NA,78
31,"blue-collar","married",NA,"no","yes","no","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,1.41,5099.1,999,1,"no",NA,79
49,"blue-collar","married","high.school","unknown","yes","no","cellular","aug","thu",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,999,0,"no",NA,80
38,"entrepreneur","married","university.degree","unknown","no","no","telephone","may","tue",11,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,999,0,"no",NA,81
34,"blue-collar","married",NA,"no","yes","yes","telephone","may","wed",2,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,999,0,"no",NA,82
NA,"technician","married","university.degree","no","yes","no","cellular","jul","thu",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,999,0,"no",NA,83
51,"unemployed","divorced","high.school","unknown","yes","no","cellular","nov","thu",2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,999,0,"no",NA,84
50,"admin.","married","high.school","no","no","yes","telephone","may","wed",1,999,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,999,0,"no",NA,85
29,"student","single",NA,"no","yes","no","cellular","jul","thu",2,999,0,"nonexistent",-2.9,92.469,-33.6,1.018,5076.2,999,0,"yes",169,86
NA,"services","married",NA,"no","yes","no","cellular","nov","thu",2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,999,0,"no",NA,87
28,"admin.","married","high.school","no","yes","no","cellular","nov","wed",1,999,0,"nonexistent",-3.4,92.649,-30.1,0.719,5017.5,999,0,"no",NA,88
39,"services","divorced","high.school","no","no","no","cellular","jul","thu",2,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,999,0,"no",NA,89
NA,"services","single","university.degree","no","no","no","cellular","may","mon",2,999,0,"nonexistent",-1.8,92.893,-46.2,1.264,5099.1,999,0,"yes",156,90
NA,"admin.","married","university.degree","unknown","no","no","telephone","jun","wed",11,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,999,0,"no",NA,91
NA,"management","divorced",NA,"no","yes","no","cellular","apr","fri",2,999,1,"failure",-1.8,93.075,-47.1,1.405,5099.1,999,0,"no",NA,92
55,"retired","married",NA,"no","yes","no","cellular","aug","thu",3,999,0,"nonexistent",1.4,93.444,-36.1,4.968,5228.1,999,0,"no",NA,93
39,"admin.","divorced","university.degree","no","no","no","telephone","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,999,0,"no",NA,94
29,"blue-collar","single","high.school","unknown","no","no","telephone","jun","mon",3,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,999,0,"no",NA,95
NA,"unemployed","married",NA,"no","no","no","telephone","jun","fri",10,999,0,"nonexistent",1.4,94.465,-41.8,4.959,5228.1,999,0,"no",NA,96
NA,"admin.","married","university.degree","no","no","no","cellular","aug",NA,3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,999,0,"no",NA,97
50,"blue-collar","married","high.school","unknown","no","no","telephone","may","mon",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,999,0,"no",NA,98
NA,"management","married","university.degree","no","no","no","telephone","jul",NA,1,999,0,"nonexistent",1.4,93.918,-42.7,4.955,5228.1,999,0,"no",NA,99
43,"blue-collar","married",NA,"no","no","no","cellular","jul","tue",5,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,999,0,"no",NA,100
34,"services","married","high.school","unknown","yes","no","telephone","may","wed",7,999,0,"nonexistent",1.1,93.994,-36.4,4.858,5191,999,0,"no",NA,101
NA,"unemployed","single","university.degree","no","yes","no","telephone","jun","tue",1,999,0,"nonexistent",-1.7,94.055,-39.8,0.713,4991.6,999,0,"no",NA,102
43,"admin.","married","high.school","unknown","no","no","telephone","jun","wed",1,999,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,999,0,"no",NA,103
43,"blue-collar","married","basic.9y","no","yes","no","cellular","nov","thu",1,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,999,0,"no",NA,104
54,"technician","married","high.school","no","yes","no","cellular","jul","tue",4,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,999,0,"no",NA,105
56,"blue-collar","married","basic.4y","unknown","no","no","telephone","jun","thu",1,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,999,0,"no",NA,106
NA,"management","married","university.degree","no","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,999,0,"no",NA,107
42,"blue-collar","single","basic.9y","no","no","no","telephone","jun","mon",5,999,0,"nonexistent",1.4,94.465,-41.8,4.961,5228.1,999,0,"no",NA,108
26,"services","married","basic.9y","no","no","no","telephone","may","tue",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.291,5099.1,999,0,"no",NA,109
49,"services","divorced","basic.6y","unknown","yes","no","telephone","may","thu",1,999,0,"nonexistent",1.1,93.994,-36.4,4.86,5191,999,0,"no",NA,110
38,"entrepreneur","married",NA,"no","yes","no","cellular","nov","mon",2,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,999,0,"no",NA,111
53,"admin.","married","basic.9y","no","yes","no","cellular","aug","tue",1,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,999,0,"no",NA,112
60,"retired","married","basic.6y","no","unknown","unknown","cellular","jun","fri",2,999,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,999,0,"no",NA,113
33,"technician","married","professional.course","unknown","yes","no","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,999,0,"no",NA,114
36,"blue-collar","married","basic.6y","no","yes","no","cellular","apr","fri",2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,999,0,"no",NA,115
47,"management","married","university.degree","no","yes","yes","cellular","aug","wed",2,999,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,999,0,"no",NA,116
NA,"entrepreneur","married","university.degree","unknown","yes","no","cellular","apr","thu",1,999,1,"failure",-1.8,93.075,-47.1,1.435,5099.1,999,0,"no",NA,117
35,"management","single","high.school","no","yes","no","cellular","nov","tue",1,999,1,"failure",-0.1,93.2,-42,4.153,5195.8,999,4,"no",NA,118
27,"admin.","single",NA,"no","yes","no","telephone","jul","fri",1,999,0,"nonexistent",-1.7,94.215,-40.3,0.861,4991.6,999,0,"no",NA,119
42,"unemployed","married","basic.4y","unknown","yes","no","telephone","may","mon",6,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,999,0,"no",NA,120
31,"blue-collar","married","basic.9y","no","no","no","cellular","may",NA,3,999,0,"nonexistent",-1.8,92.893,-46.2,1.266,5099.1,999,0,"no",NA,121
34,"admin.","single","university.degree","no","yes","no","cellular","jul","tue",3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,999,0,"yes",112,122
31,"technician","divorced","high.school","no","no","no","cellular","aug","fri",3,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,999,0,"no",NA,123
NA,"housemaid","married","basic.4y","no","yes","no","cellular","aug","mon",1,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,999,0,"no",NA,124
25,"admin.","single","high.school","no","no","no","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,999,0,"no",NA,125
52,"entrepreneur","divorced","high.school","unknown","yes","no","cellular","jul","tue",1,999,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,999,0,"yes",-31,126
43,"technician","divorced","unknown","no","no","no","cellular","jul","fri",1,999,1,"failure",-1.7,94.215,-40.3,0.861,4991.6,999,2,"no",NA,127
56,"services","single","high.school","no","yes","no","cellular","nov","fri",2,999,1,"failure",-0.1,93.2,-42,4.021,5195.8,999,0,"no",NA,128
32,"unemployed","single",NA,"no","no","no","cellular","may","thu",1,999,1,"failure",-1.8,92.893,-46.2,1.327,5099.1,999,2,"no",NA,129
38,"blue-collar","single",NA,"no","yes","yes","telephone","jun","thu",1,999,0,"nonexistent",-1.7,94.055,-39.8,0.729,4991.6,999,0,"no",NA,130
30,"unemployed","single","basic.9y","no","no","no","cellular","apr","wed",4,999,0,"nonexistent",-1.8,93.075,-47.1,1.445,5099.1,999,0,"yes",157,131
37,"technician","married","university.degree","no","yes","no","cellular","aug","mon",1,4,1,"success",-2.9,92.201,-31.4,0.884,5076.2,0.133333333333333,3,"yes",116,132
28,"unemployed","married","high.school","no","no","no","telephone","mar","fri",4,6,1,"success",-1.8,93.369,-34.8,0.653,5008.7,0.2,2,"yes",170,133
46,"blue-collar","married","basic.4y","unknown","yes","no","cellular","may","fri",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,999,0,"no",NA,134
33,"blue-collar","married",NA,"no","yes","no","cellular","apr","mon",3,999,2,"failure",-1.8,93.075,-47.1,1.405,5099.1,999,6,"no",NA,135
NA,"management","single","university.degree","no","no","no","cellular","nov","thu",2,999,1,"failure",-0.1,93.2,-42,4.076,5195.8,999,4,"yes",195,136
23,"technician","single","professional.course","no","unknown","unknown","cellular","may","fri",5,999,0,"nonexistent",-1.8,92.893,-46.2,1.25,5099.1,999,0,"no",NA,137
19,"student","single","basic.9y","no","yes","no","cellular","may","fri",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.259,5099.1,999,0,"yes",116,138
45,"blue-collar","married",NA,"no","no","no","cellular","apr",NA,2,999,0,"nonexistent",-1.8,93.075,-47.1,1.405,5099.1,999,0,"no",NA,139
38,"management","married","university.degree","no","yes","no","cellular","nov","thu",2,999,0,"nonexistent",-0.1,93.2,-42,4.076,5195.8,999,0,"no",NA,140
58,"services","married","high.school","no","no","no","cellular","mar","mon",2,3,1,"success",-1.8,93.369,-34.8,0.635,5008.7,0.1,0,"yes",162,141
42,"blue-collar","single","basic.9y","no","unknown","unknown","telephone","may",NA,5,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,999,0,"no",NA,142
39,"technician","married","university.degree","unknown","yes","no","cellular","aug","fri",4,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,999,0,"no",NA,143
NA,"services","married",NA,"unknown","yes","no","telephone","may","tue",2,999,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,999,0,"no",NA,144
NA,"housemaid","married","basic.9y","no","yes","no","cellular","may","tue",2,999,1,"failure",-1.8,92.893,-46.2,1.291,5099.1,999,1,"no",NA,145
47,"technician","married","professional.course","no","yes","no","cellular","jul","thu",18,999,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,999,0,"no",NA,146
52,"entrepreneur","married","university.degree","no","no","no","telephone","jun","mon",2,999,0,"nonexistent",1.4,94.465,-41.8,4.96,5228.1,999,0,"no",NA,147
39,"blue-collar","married","basic.9y","no","yes","yes","telephone","jul","fri",5,999,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,999,0,"no",NA,148
28,"student","single","basic.9y","no","yes","no","cellular","mar",NA,2,999,0,"nonexistent",-1.8,92.843,-50,1.799,5099.1,999,0,"yes",177,149
36,"admin.","married",NA,"no","yes","no","cellular","jul","wed",3,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,999,0,"no",NA,150
NA,"technician","single","professional.course","no","no","no","cellular","may","wed",3,999,0,"nonexistent",-1.8,92.893,-46.2,1.27,5099.1,999,0,"yes",166,151
35,"management","married","university.degree","no","unknown","unknown","cellular","aug","wed",1,999,0,"nonexistent",1.4,93.444,-36.1,4.964,5228.1,999,0,"no",NA,152
49,"services","married","high.school","unknown","yes","no","cellular","aug","fri",2,999,0,"nonexistent",1.4,93.444,-36.1,4.966,5228.1,999,0,"no",NA,153
47,"admin.","married",NA,"no","no","yes","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,999,0,"no",NA,154
NA,"management","married","university.degree","no","yes","no","cellular","oct",NA,3,3,3,"success",-1.1,94.601,-49.5,1.025,4963.6,0.1,9,"yes",136,155
51,"services","married","high.school","no","unknown","unknown","telephone","jun","fri",5,999,0,"nonexistent",1.4,94.465,-41.8,4.947,5228.1,999,0,"no",NA,156
33,"entrepreneur","married","basic.9y","no","no","no","cellular","may","wed",2,999,1,"failure",-1.8,92.893,-46.2,1.334,5099.1,999,3,"no",NA,157
28,"blue-collar","single","basic.9y","no","yes","no","cellular","apr","thu",3,999,0,"nonexistent",-1.8,93.075,-47.1,1.406,5099.1,999,0,"no",NA,158
NA,"blue-collar","married","unknown","no","yes","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,999,0,"no",NA,159
58,"admin.","married",NA,"no","no","no","cellular","aug","mon",2,999,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,999,0,"no",NA,160
NA,"unemployed","married","professional.course","no","no","no","telephone","jun","tue",1,999,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,999,0,"no",NA,161
NA,"blue-collar","married",NA,"no","no","no","telephone","apr","tue",3,999,1,"failure",-1.8,93.075,-47.1,1.423,5099.1,999,0,"no",NA,162
57,"technician","divorced","professional.course","no","yes","no","cellular","nov","mon",4,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,999,0,"no",NA,163
77,"retired","divorced",NA,"no","yes","no","cellular","mar","tue",1,999,0,"nonexistent",-1.8,92.843,-50,1.614,5099.1,999,0,"yes",207,164
28,"technician","divorced","university.degree","no","no","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,999,0,"no",NA,165
30,"admin.","married","university.degree","no","yes","yes","cellular","aug","tue",3,999,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,999,0,"no",NA,166
NA,"management","married","basic.4y","no","no","no","telephone","may","fri",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,999,0,"no",NA,167
42,"admin.","married",NA,"no","no","no","cellular","jul","wed",2,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,999,0,"no",NA,168
NA,"blue-collar","single",NA,"no","no","no","telephone","may",NA,3,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,999,0,"no",NA,169
25,"admin.","married","university.degree","no","yes","no","cellular","mar","fri",1,999,0,"nonexistent",-1.8,92.843,-50,1.531,5099.1,999,0,"yes",151,170
41,"blue-collar","single","basic.6y","unknown","no","no","cellular","jul","wed",1,999,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,999,0,"no",NA,171
36,"services","married","university.degree","no","no","no","cellular","may","mon",1,999,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,999,0,"no",NA,172
NA,"technician","married",NA,"unknown","yes","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,999,0,"no",NA,173
NA,"technician","married","university.degree","no","yes","yes","cellular","aug","thu",6,999,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,999,0,"no",NA,174
61,"admin.","married","university.degree","unknown","yes","no","cellular","jun","wed",2,999,0,"nonexistent",-2.9,92.963,-40.8,1.26,5076.2,999,0,"yes",16,175
37,"blue-collar","married","basic.6y","no","yes","no","telephone","nov","mon",3,999,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,999,0,"no",NA,176
40,"admin.","married",NA,"no","no","no","telephone","may","tue",1,999,0,"nonexistent",1.1,93.994,-36.4,4.857,5191,999,0,"no",NA,177
